lake.name	date	Year	sum_mg_ww_L
G	2011-08-08	2011	0.00468057
G	2012-07-09	2012	0.00988253
Grass	1994-06-20	1994	0.01263846
Grass	1994-07-25	1994	0.03100818
Grass	1994-08-23	1994	0.0041414
Grass	1995-06-13	1995	0.02055664
Grass	1995-08-15	1995	0.00485686
Grass	1995-09-07	1995	0.00746756
Grass	1996-06-18	1996	0.05768102
Grass	1996-07-19	1996	0.02601227
Grass	1996-08-14	1996	0.01127892
Grass	1997-07-08	1997	0.02849803
Grass	1997-08-12	1997	0.02031403
Grass	1998-07-09	1998	0.00970679
Grass	1998-08-12	1998	0.0126514
Grass	1999-07-08	1999	0.003891
Grass	1999-08-18	1999	0.02342799
Grass	2000-07-20	2000	0.09610014
Grass	2000-08-16	2000	0.02946728
Grass	2001-07-11	2001	0.01126213
Grass	2001-09-07	2001	0.03303183
Grass	2002-09-13	2002	0.00687098
Grass	2002-09-18	2002	0.01192298
Grass	2003-07-09	2003	0.01338363
Grass	2003-08-06	2003	0.01661419
Grass	2004-07-13	2004	0.05581049
Grass	2004-08-03	2004	0.01982618
Grass	2005-07-12	2005	0.03059381
Grass	2005-08-09	2005	0.00410602
Grass	2006-07-13	2006	0.01891056
Grass	2006-08-09	2006	0.01350868
Indian	1994-06-28	1994	0.01007946
Indian	1994-08-02	1994	0.01333654
Indian	1994-08-31	1994	0.0116173
Indian	1995-06-20	1995	0.01266809
Indian	1995-08-08	1995	0.02126633
Indian	1995-09-14	1995	0.01455292
Indian	1996-06-26	1996	0.04458683
Indian	1996-07-23	1996	0.0275729
Indian	1996-08-20	1996	0.01799746
Indian	1997-07-14	1997	0.02054596
Indian	1997-08-18	1997	0.01879929
Indian	1998-07-14	1998	0.02820961
Indian	1998-08-10	1998	0.02455833
Indian	1999-06-29	1999	0.01357627
Indian	1999-08-16	1999	0.02076744
Indian	2000-07-11	2000	0.02071214
Indian	2000-08-14	2000	0.0155786
Indian	2001-07-09	2001	0.00590315
Indian	2001-09-05	2001	0.01320384
Indian	2002-08-22	2002	0.02996723
Indian	2002-09-19	2002	0.00498793
Indian	2003-07-09	2003	0.00926978
Indian	2003-08-06	2003	0.00702887
Indian	2004-07-13	2004	0.00837668
Indian	2004-08-03	2004	0.01004888
Indian	2005-07-11	2005	0.03582128
Indian	2005-08-08	2005	0.02299648
Indian	2006-07-11	2006	0.0303744
Indian	2006-08-08	2006	0.02458988
Indian	2007-07-17	2007	0.00450735
Indian	2007-08-01	2007	0.00886673
Indian	2008-07-02	2008	0.23771223
Indian	2008-08-07	2008	0.07216351
Indian	2010-07-15	2010	0.00817253
Indian	2010-08-10	2010	0.00618934
Indian	2011-07-19	2011	0.00740545
Indian	2011-08-17	2011	0.0135211
Indian	2012-07-19	2012	0.00697834
Jockeybush	1994-06-21	1994	0.00153124
Jockeybush	1994-07-26	1994	0.00198184
Jockeybush	1994-08-22	1994	0.0019817
Jockeybush	1995-06-12	1995	0.02797686
Jockeybush	1995-08-14	1995	0.00551387
Jockeybush	1995-09-05	1995	0.00338346
Jockeybush	1996-06-27	1996	0.00638374
Jockeybush	1996-07-17	1996	0.00273073
Jockeybush	1996-08-13	1996	0.00974034
Jockeybush	1997-07-07	1997	0.00305454
Jockeybush	1997-08-11	1997	0.00393401
Jockeybush	1998-07-07	1998	0.0024009
Jockeybush	1998-08-13	1998	0.00184354
