lake.name	date	Year	sum_mg_ww_L
Grass	1994-07-25	1994	1.263638541
Grass	1994-08-23	1994	0.296197998
Grass	1995-06-13	1995	1.611196309
Grass	1995-08-15	1995	1.236468397
Grass	1995-09-07	1995	0.616054948
Grass	1996-06-18	1996	1.51730655
Grass	1996-07-19	1996	1.266329256
Grass	1996-08-14	1996	0.833947029
Grass	1997-07-08	1997	1.195535804
Grass	1997-08-12	1997	0.950566232
Grass	1998-07-09	1998	0.757795953
Grass	1998-08-12	1998	0.780019941
Grass	1999-07-08	1999	1.247295166
Grass	1999-08-18	1999	1.61338417
Grass	2000-07-20	2000	1.283427215
Grass	2000-08-16	2000	1.008407373
Grass	2001-07-11	2001	1.030132175
Grass	2001-09-07	2001	0.632382076
Grass	2002-09-13	2002	0.480715725
Grass	2002-09-18	2002	0.945615638
Grass	2003-07-09	2003	0.967732686
Grass	2003-08-06	2003	1.177284199
Grass	2004-07-13	2004	1.67361956
Grass	2004-08-03	2004	0.82175725
Grass	2005-07-12	2005	1.105136401
Grass	2005-08-09	2005	1.04093227
Grass	2006-07-13	2006	1.01754999
Grass	2006-08-09	2006	0.9286355
Indian	1994-06-28	1994	0.675599481
Indian	1994-08-02	1994	0.757064358
Indian	1994-08-31	1994	0.897586426
Indian	1995-06-20	1995	0.75250605
Indian	1995-08-08	1995	1.75271283
Indian	1995-09-14	1995	1.394966344
Indian	1996-06-26	1996	0.92788902
Indian	1996-07-23	1996	0.709903993
Indian	1996-08-20	1996	1.041620682
Indian	1997-07-14	1997	1.054630862
Indian	1997-08-18	1997	1.086420874
Indian	1998-07-14	1998	0.187207433
Indian	1998-08-10	1998	0.373438644
Indian	1999-06-29	1999	1.645184449
Indian	1999-08-16	1999	1.110550504
Indian	2000-07-11	2000	1.154689649
Indian	2000-08-14	2000	0.464914458
Indian	2001-07-09	2001	0.857165303
Indian	2001-09-05	2001	0.724563
Indian	2002-08-22	2002	0.427842294
Indian	2002-09-19	2002	0.6178877
Indian	2003-07-09	2003	0.80603524
Indian	2003-08-06	2003	1.119081655
Indian	2004-07-13	2004	0.600342415
Indian	2004-08-03	2004	0.69645375
Indian	2005-07-11	2005	0.704941275
Indian	2005-08-08	2005	0.3792234
Indian	2006-07-11	2006	0.715705
Indian	2006-08-08	2006	0.5611975
Indian	2007-07-17	2007	0.338555175
Indian	2007-08-01	2007	0.661288876
Indian	2008-07-02	2008	0.3851464
Indian	2008-08-07	2008	0.320413913
Indian	2010-07-15	2010	2.6243042
Indian	2010-08-10	2010	0.53514093
Indian	2011-07-19	2011	0.724425305
Indian	2011-08-17	2011	1.103927132
Indian	2012-07-19	2012	1.263395
Indian	2012-08-14	2012	1.417918198
Jockeybush	1994-06-21	1994	0.985297276
Jockeybush	1994-07-26	1994	0.95387675
Jockeybush	1994-08-22	1994	0.515606643
Jockeybush	1995-06-12	1995	0.110576683
Jockeybush	1995-08-14	1995	0.749307726
Jockeybush	1995-09-05	1995	0.648108524
Jockeybush	1996-06-27	1996	0.816446688
Jockeybush	1996-07-17	1996	0.734236294
Jockeybush	1996-08-13	1996	0.643289618
Jockeybush	1997-07-07	1997	0.536761962
Jockeybush	1997-08-11	1997	0.473815166
Jockeybush	1998-07-07	1998	0.533642139
Jockeybush	1998-08-13	1998	0.42150366
Jockeybush	1999-07-06	1999	0.90797218
Jockeybush	1999-08-16	1999	1.124814669
Jockeybush	2000-07-11	2000	1.408221876
Jockeybush	2000-08-14	2000	1.418342306
Jockeybush	2001-07-09	2001	0.416724635
Jockeybush	2001-09-05	2001	0.696173535
Jockeybush	2002-09-12	2002	0.59047078
Jockeybush	2002-09-20	2002	0.619133521
Jockeybush	2003-07-08	2003	1.3055625
Jockeybush	2003-08-05	2003	0.844771561
Jockeybush	2004-07-12	2004	0.424388191
Jockeybush	2004-08-02	2004	0.327058009
Jockeybush	2005-08-08	2005	0.72275967
Jockeybush	2006-07-11	2006	0.435319125
Jockeybush	2006-08-08	2006	0.55001895
Jockeybush	2007-07-12	2007	0.528823529
Jockeybush	2007-08-02	2007	0.312575744
Jockeybush	2008-08-07	2008	0.925258508
Jockeybush	2010-07-20	2010	0.297411916
Jockeybush	2011-07-12	2011	0.93438935
Jockeybush	2011-08-08	2011	0.5593868
Jockeybush	2012-07-09	2012	0.522142299
Jockeybush	2012-08-06	2012	0.166117534
Limekiln	1994-06-29	1994	1.06967807
Limekiln	1994-07-25	1994	1.036880466
Limekiln	1994-08-30	1994	1.000752313
Limekiln	1995-06-20	1995	1.161450126
Limekiln	1995-08-07	1995	0.903784744
Limekiln	1995-09-12	1995	0.688493408
Limekiln	1996-06-25	1996	0.503446856
Limekiln	1996-07-23	1996	0.375722931
Limekiln	1996-08-20	1996	0.41233571
Limekiln	1997-07-15	1997	0.562261062
Limekiln	1997-08-19	1997	0.606053647
Limekiln	1998-07-14	1998	0.7546014
Limekiln	1998-08-10	1998	0.826431889
Limekiln	1999-06-30	1999	0.337297174
Limekiln	1999-08-24	1999	0.585838532
Limekiln	2000-07-13	2000	1.580105294
Limekiln	2000-08-22	2000	0.39918247
Limekiln	2001-07-18	2001	0.414635314
Limekiln	2001-08-08	2001	0.131024777
Limekiln	2002-08-14	2002	0.135151119
Limekiln	2002-09-17	2002	0.172137996
Limekiln	2003-07-16	2003	0.511739197
Limekiln	2003-08-13	2003	0.254171461
Limekiln	2004-07-07	2004	0.86197905
Limekiln	2004-08-10	2004	0.743593812
Limekiln	2005-07-20	2005	0.307690394
Limekiln	2005-08-17	2005	0.240128789
Limekiln	2006-07-12	2006	0.175786914
Limekiln	2006-08-16	2006	0.444412125
Limekiln	2007-07-12	2007	0.210921869
Limekiln	2007-07-31	2007	0.203473115
Limekiln	2008-07-01	2008	0.45213974
Limekiln	2008-08-04	2008	0.309643751
Limekiln	2010-07-08	2010	0.130798582
Limekiln	2010-08-12	2010	0.120975991
Limekiln	2011-07-12	2011	0.22786588
Limekiln	2011-08-09	2011	0.112254674
Limekiln	2012-07-09	2012	0.276728937
Limekiln	2012-08-07	2012	0.246913073
Long	1994-06-29	1994	0.195154566
Long	1994-08-02	1994	0.031523003
Long	1994-08-29	1994	0.930497733
Long	1995-06-14	1995	1.913769051
Long	1995-08-16	1995	1.124584096
Long	1995-09-06	1995	1.660952271
Long	1996-06-19	1996	0.18161526
Long	1996-07-17	1996	0.154079181
Long	1996-08-14	1996	0.032292314
Long	1997-07-08	1997	3.9180586
Long	1997-08-14	1997	0.044930737
Long	1998-07-08	1998	0.316163306
Long	1998-08-12	1998	0.038862023
Long	1999-07-07	1999	0.4088884
Long	1999-08-17	1999	0.25299651
Long	2000-07-12	2000	0.811821828
Long	2000-08-15	2000	0.32147779
Long	2001-07-10	2001	0.068338185
Long	2001-09-07	2001	0.90340689
Long	2002-08-28	2002	0.487913249
Long	2002-09-20	2002	1.540505824
Long	2003-07-10	2003	0.114746313
Long	2003-08-07	2003	0.14787754
Long	2004-07-21	2004	0.192666099
Long	2004-08-04	2004	0.175631652
Long	2005-07-13	2005	0.09904969
Long	2005-08-11	2005	0.023910807
Long	2006-07-24	2006	0.06885193
Long	2006-08-11	2006	0.036691845
Loon Hollow	1994-06-20	1994	0.018830624
Loon Hollow	1994-07-27	1994	0.042387057
Loon Hollow	1994-08-24	1994	0.147836966
Loon Hollow	1995-06-14	1995	0.012672392
Loon Hollow	1995-08-16	1995	0.081953276
Loon Hollow	1995-09-07	1995	0.199678171
Loon Hollow	1996-06-19	1996	0.071708538
Loon Hollow	1996-07-16	1996	0.377272147
Loon Hollow	1996-08-14	1996	0.037526392
Loon Hollow	1997-07-08	1997	0.196658266
Loon Hollow	1997-08-14	1997	0.244617886
Loon Hollow	1998-07-08	1998	0.029387367
Loon Hollow	1998-08-12	1998	0.043926455
Loon Hollow	1999-07-07	1999	0.172332
Loon Hollow	1999-08-17	1999	0.243499207
Loon Hollow	2000-07-12	2000	0.130407284
Loon Hollow	2000-08-15	2000	0.04575699
Loon Hollow	2001-07-10	2001	0.1784726
Loon Hollow	2001-09-06	2001	0.048233343
Loon Hollow	2002-09-13	2002	0.020158473
Loon Hollow	2002-09-18	2002	0.097903601
Loon Hollow	2003-07-09	2003	0.020487593
Loon Hollow	2003-08-06	2003	0.034582733
Loon Hollow	2004-07-21	2004	0.024877262
Loon Hollow	2004-08-03	2004	0.04556286
Loon Hollow	2005-07-12	2005	0.022206774
Loon Hollow	2005-08-09	2005	0.035255043
Loon Hollow	2006-07-13	2006	0.012342103
Loon Hollow	2006-08-10	2006	0.007520277
Middle Branch	1994-06-20	1994	0.825513851
Middle Branch	1994-07-25	1994	0.678550941
Middle Branch	1994-08-23	1994	0.590170643
Middle Branch	1995-06-14	1995	0.637697223
Middle Branch	1995-08-15	1995	2.611881114
Middle Branch	1995-09-07	1995	1.148059081
Middle Branch	1996-06-18	1996	1.359083749
Middle Branch	1996-07-16	1996	1.382752656
Middle Branch	1996-08-14	1996	0.792764748
Middle Branch	1997-07-08	1997	0.794310446
Middle Branch	1997-08-12	1997	0.674102635
Middle Branch	1998-07-09	1998	0.22828023
Middle Branch	1998-08-12	1998	0.250599085
Middle Branch	1999-07-08	1999	1.071512759
Middle Branch	1999-08-18	1999	0.416538846
Middle Branch	2000-07-20	2000	1.420871016
Middle Branch	2000-08-16	2000	1.320797103
Middle Branch	2001-07-11	2001	2.022309818
Middle Branch	2001-09-07	2001	0.359515236
Middle Branch	2002-09-13	2002	0.247418948
Middle Branch	2002-09-18	2002	0.545538645
Middle Branch	2003-07-09	2003	0.523137675
Middle Branch	2003-08-06	2003	0.535543309
Middle Branch	2004-07-13	2004	0.604547519
Middle Branch	2004-08-03	2004	0.68868855
Middle Branch	2005-07-12	2005	0.434524575
Middle Branch	2005-08-09	2005	0.294815852
Middle Branch	2006-07-13	2006	0.829316775
Middle Branch	2006-08-09	2006	0.9482109
Middle Settlement	1994-06-20	1994	0.831567654
Middle Settlement	1994-07-25	1994	1.701452608
Middle Settlement	1994-08-23	1994	1.146471415
Middle Settlement	1995-08-15	1995	2.179349974
Middle Settlement	1995-09-07	1995	1.015872473
Middle Settlement	1996-06-18	1996	0.958923769
Middle Settlement	1996-07-16	1996	1.3448914
Middle Settlement	1996-08-14	1996	1.246141766
Middle Settlement	1997-07-08	1997	0.739304865
Middle Settlement	1997-08-12	1997	0.592639714
Middle Settlement	1998-07-09	1998	0.427093712
Middle Settlement	1998-08-12	1998	0.643195448
Middle Settlement	1999-07-08	1999	1.95204052
Middle Settlement	1999-08-18	1999	1.068587093
Middle Settlement	2000-07-20	2000	0.672129451
Middle Settlement	2000-08-16	2000	1.066031585
Middle Settlement	2001-07-11	2001	1.068233753
Middle Settlement	2001-09-07	2001	0.824050973
Middle Settlement	2002-09-13	2002	0.572264404
Middle Settlement	2002-09-18	2002	0.919092553
Middle Settlement	2003-08-06	2003	1.49225265
Middle Settlement	2004-07-13	2004	1.028026778
Middle Settlement	2004-08-03	2004	0.995466583
Middle Settlement	2005-07-12	2005	1.165972753
Middle Settlement	2005-08-09	2005	1.985768382
Middle Settlement	2006-07-13	2006	1.009824255
Middle Settlement	2006-08-09	2006	0.896143032
Middle Settlement	2007-07-12	2007	1.897725527
Middle Settlement	2007-08-01	2007	2.315707394
Middle Settlement	2008-07-01	2008	1.229310325
Middle Settlement	2008-08-05	2008	0.702697118
Moss	1994-06-28	1994	0.154210209
Moss	1994-08-02	1994	0.167672664
Moss	1994-08-24	1994	0.272212823
Moss	1995-06-19	1995	0.012397718
Moss	1995-08-07	1995	0.502113602
Moss	1995-09-13	1995	0.261544457
Moss	1996-06-25	1996	0.193807306
Moss	1996-07-15	1996	0.189051879
Moss	1996-08-20	1996	0.324608051
Moss	1997-07-15	1997	0.285935585
Moss	1997-08-19	1997	0.31138257
Moss	1998-07-13	1998	0.404707793
Moss	1998-08-18	1998	0.243573466
Moss	1999-06-30	1999	0.44521675
Moss	1999-08-23	1999	0.404790636
Moss	2000-07-13	2000	0.107987146
Moss	2000-08-22	2000	0.308497316
Moss	2001-07-18	2001	0.373764995
Moss	2001-08-07	2001	0.418681776
Moss	2002-08-14	2002	0.118183767
Moss	2002-09-17	2002	0.133141272
Moss	2003-07-15	2003	0.008744259
Moss	2003-08-05	2003	0.699141524
Moss	2004-07-06	2004	0.231830119
Moss	2004-08-11	2004	0.231830119
Moss	2005-07-20	2005	0.288716554
Moss	2005-08-17	2005	0.216021901
Moss	2006-08-16	2006	0.265455249
Moss	2007-07-13	2007	0.3944203
Moss	2007-07-31	2007	0.323888008
Moss	2008-06-30	2008	0.201200739
Moss	2008-08-06	2008	0.116879291
Moss	2010-07-07	2010	0.09823498
Moss	2010-08-12	2010	0.125160893
Moss	2011-07-13	2011	0.12256247
Moss	2011-08-09	2011	0.114064982
Moss	2012-07-10	2012	0.172129794
Moss	2012-08-07	2012	0.05637444
North	1994-06-29	1994	0.104770127
North	1994-07-27	1994	0.357732864
North	1994-08-31	1994	0.269256268
North	1995-06-19	1995	0.189956717
North	1995-08-08	1995	0.448467098
North	1995-09-13	1995	0.299389672
North	1996-06-17	1996	0.157545769
North	1996-07-22	1996	0.220178316
North	1996-08-19	1996	0.156245028
North	1997-07-14	1997	0.168105691
North	1997-08-18	1997	0.106371955
North	1998-07-13	1998	0.279764176
North	1998-08-17	1998	0.396318034
North	1999-06-29	1999	0.150665475
North	1999-08-24	1999	0.250916616
North	2000-07-18	2000	0.32140495
North	2000-08-21	2000	0.436544139
North	2001-07-18	2001	0.312096228
North	2001-08-07	2001	0.114328641
North	2002-08-13	2002	0.173836161
North	2002-09-10	2002	0.305024366
North	2003-07-15	2003	0.183298275
North	2003-09-04	2003	0.467714669
North	2004-07-06	2004	0.199455694
North	2004-08-11	2004	0.452717063
North	2005-07-19	2005	0.143688515
North	2005-08-16	2005	0.115846963
North	2006-07-18	2006	0.219756313
North	2006-08-16	2006	0.297082597
North	2007-07-11	2007	0.115347034
North	2007-07-30	2007	0.098485561
North	2008-07-02	2008	0.294158175
North	2008-08-07	2008	0.337746368
North	2010-07-07	2010	0.24811465
North	2010-08-11	2010	0.049776672
North	2011-07-11	2011	0.216427728
North	2011-08-08	2011	0.030855219
North	2012-07-10	2012	0.177008333
North	2012-08-06	2012	0.098408
Queer	1994-06-20	1994	0.778495962
